"Term","Estimate","Method","DF","Test_Statistic","p","p < alpha"
"Offspring.Acc2",-0.0301381101816175,"z-value",NA,-0.227474353350732,0.820054909606007,""
"Offspring.Acc2:Father.Acc2",-0.0476710223709562,"Satterthwaite",767.142849600193,-0.298323407391035,0.765537123030227,""
"Offspring.Acc2:Father.Acc2",-0.0476710223709562,"Kenward-Roger",729.74149478622,-0.298323407391035,0.76554126259664,""
"Offspring.Acc2:Father.Acc2",-0.0476710223709562,"n-1",228,-0.298323407391035,0.765728033093989,""
"Offspring.Acc2:Father.Acc2",-0.0636856928646655,"z-value",NA,-0.34224022442435,0.732170116177023,""
"Offspring.Acc2:Father.Acc2:Mother.Acc2",-0.152244933659789,"Satterthwaite",557.569441846953,-0.69531747970025,0.487146037605176,""
"Offspring.Acc2:Father.Acc2:Mother.Acc2",-0.152244933659789,"Kenward-Roger",525.699374626634,-0.69531747970025,0.487163592605849,""
"Offspring.Acc2:Father.Acc2:Mother.Acc2",-0.152244933659789,"n-1",228,-0.69531747970025,0.487564409924421,""
"Offspring.Acc2:Father.Acc2:Mother.Acc2",-0.145399039165543,"z-value",NA,-0.577517426730603,0.563589969781773,""
"Offspring.Acc2:Mother.Acc2",0.0112290146943836,"Satterthwaite",470.200032719603,0.0734859908499672,0.941450641764578,""
"Offspring.Acc2:Mother.Acc2",0.0112290146943836,"Kenward-Roger",442.350931261364,0.0734859908499672,0.941452608620055,""
"Offspring.Acc2:Mother.Acc2",0.0112290146943836,"n-1",228,0.0734859908499672,0.94148381978136,""
"Offspring.Acc2:Mother.Acc2",0.0676104575066378,"z-value",NA,0.384808509679709,0.700379293917954,""
