"Reponse.Type","Response","Delta.AIC","Marginal.R2","Conditional.R2","Equation"
"Mass Independant","log(RMR)",2.73210636300817,0.132748636141305,0.170710975147252,"Father.Acc + log(Mass) + Mother.Acc + (1 | Mother.ID) + (1 | Father.ID) + Father.Acc:Mother.Acc"
"Mass Independant","log(RMR)",2.88787761146875,0.135787938431695,0.190074962609707,"Father.Acc + log(Mass) + Mother.Acc + Offspring.Acc + (1 | Mother.ID) + (1 | Father.ID)"
"Mass Independant","log(RMR)",3.27436279802879,0.144635226407795,0.202897140559051,"Father.Acc + log(Mass) + Mother.Acc + Offspring.Acc + (1 | Mother.ID) + (1 | Father.ID) + Mother.Acc:Offspring.Acc"
"Mass Independant","log(RMR)",4.05881941112355,0.140009483261857,0.188800810858395,"Father.Acc + log(Mass) + Mother.Acc + Offspring.Acc + (1 | Mother.ID) + (1 | Father.ID) + Father.Acc:Mother.Acc"
"Mass Independant","log(RMR)",4.09508992192264,0.0998887329193955,0.216120581213446,"log(Mass) + (1 | Mother.ID) + (1 | Father.ID)"
"Mass Independant","log(RMR)",4.56403171985403,0.148063743855266,0.200173714481744,"Father.Acc + log(Mass) + Mother.Acc + Offspring.Acc + (1 | Mother.ID) + (1 | Father.ID) + Father.Acc:Mother.Acc + Mother.Acc:Offspring.Acc"
"Mass Independant","log(RMR)",4.84880115813644,0.139278801742777,0.198212673390785,"Father.Acc + log(Mass) + Mother.Acc + Offspring.Acc + (1 | Mother.ID) + (1 | Father.ID) + Father.Acc:Offspring.Acc"
"Mass Independant","log(MMR)",0,0.510738852537339,0.524144297868713,"log(Mass) + Offspring.Acc + (1 | Mother.ID) + (1 | Father.ID)"
"Mass Independant","log(MMR)",1.15197703264727,0.502590579834421,0.512328818471174,"Father.Acc + log(Mass) + Offspring.Acc + (1 | Mother.ID) + (1 | Father.ID)"
"Mass Independant","log(MMR)",1.65714851888889,0.512444178216961,0.526659436223105,"log(Mass) + Mother.Acc + Offspring.Acc + (1 | Mother.ID) + (1 | Father.ID)"
"Mass Independant","log(MMR)",2.34528911601392,0.514902342935802,0.527337921443784,"log(Mass) + Mother.Acc + Offspring.Acc + (1 | Mother.ID) + (1 | Father.ID) + Mother.Acc:Offspring.Acc"
"Mass Independant","log(MMR)",2.77958408997091,0.503758820112926,0.513986208867274,"Father.Acc + log(Mass) + Mother.Acc + Offspring.Acc + (1 | Mother.ID) + (1 | Father.ID)"
"Mass Independant","log(MMR)",3.29688185679935,0.50262005254776,0.512491775403081,"Father.Acc + log(Mass) + Offspring.Acc + (1 | Mother.ID) + (1 | Father.ID) + Father.Acc:Offspring.Acc"
"Mass Independant","log(MMR)",3.45724913398772,0.507098337576952,0.515767016351513,"Father.Acc + log(Mass) + Mother.Acc + Offspring.Acc + (1 | Mother.ID) + (1 | Father.ID) + Mother.Acc:Offspring.Acc"
"Mass Independant","log(MMR)",4.63059407594542,0.488909670266079,0.495346279142606,"log(Mass) + (1 | Mother.ID) + (1 | Father.ID)"
"Mass Independant","log(MMR)",4.83582318919994,0.504025835023642,0.514435028509304,"Father.Acc + log(Mass) + Mother.Acc + Offspring.Acc + (1 | Mother.ID) + (1 | Father.ID) + Father.Acc:Mother.Acc"
"Mass Independant","log(MMR)",4.94193445953366,0.503795823953951,0.514183852842872,"Father.Acc + log(Mass) + Mother.Acc + Offspring.Acc + (1 | Mother.ID) + (1 | Father.ID) + Father.Acc:Offspring.Acc"
"Mass Independant","AAS",0,0.441998010314306,0.441998010314306,"log(Mass) + Offspring.Acc + (1 | Mother.ID) + (1 | Father.ID)"
"Mass Independant","AAS",2.13040768379025,0.441782393963624,0.441782393963624,"log(Mass) + Mother.Acc + Offspring.Acc + (1 | Mother.ID) + (1 | Father.ID)"
"Mass Independant","AAS",2.16104662349093,0.442207860720729,0.442207860720729,"Father.Acc + log(Mass) + Offspring.Acc + (1 | Mother.ID) + (1 | Father.ID)"
"Mass Independant","AAS",2.71717499081712,0.445764296586426,0.445764296586426,"log(Mass) + Mother.Acc + Offspring.Acc + (1 | Mother.ID) + (1 | Father.ID) + Mother.Acc:Offspring.Acc"
"Mass Independant","AAS",4.31961621493974,0.441988973180612,0.441988973180612,"Father.Acc + log(Mass) + Mother.Acc + Offspring.Acc + (1 | Mother.ID) + (1 | Father.ID)"
"Mass Independant","AAS",4.36509319344079,0.442243014790126,0.442243014790126,"Father.Acc + log(Mass) + Offspring.Acc + (1 | Mother.ID) + (1 | Father.ID) + Father.Acc:Offspring.Acc"
"Mass Independant","AAS",4.91885069938651,0.446066391023801,0.446066391023801,"Father.Acc + log(Mass) + Mother.Acc + Offspring.Acc + (1 | Mother.ID) + (1 | Father.ID) + Mother.Acc:Offspring.Acc"
"Mass Independant","CTM",0,0.468351559330228,0.508793016548749,"Offspring.Acc"
