Offspring.Acc,Mother.Acc,Father.Acc,Mother.ID,Father.ID,Mass,RMR,MMR,AAS,CTM,RMR.MS,MMR.MS,AAS.MS,Parent.group,Tank,Tank.Box,Family
2,2,2,2,2,2.78,0.722466864,0.94011624,0.52652376,29,259.8802,338.1713,189.397,4,5,5D,6
2,2,2,2,2,2.88,,0.97378488,0.673516224,29.4,,338.1198,256.32484,4,5,5D,6
2,2,2,2,2,3.42,1.45604208,1.45604208,0.729042312,28.8,425.7433,425.7433,213.1703,4,5,5D,6
2,2,2,2,2,3.69,0.89672352,1.63258998,0.73586646,29.2,243.0145,442.4363,199.4218,4,5,5D,6
2,2,2,2,2,2.98,1.04107464,1.47229332,0.72406668,28.9,349.3539,494.0582,242.9754,4,5,5D,6
2,2,2,1,2,1.98,1.00458132,1.00458132,,29,507.3643,507.3643,,4,5,5D,5
2,2,2,2,2,2.73,1.20753852,1.50612186,,29,442.3218,551.693,,4,5,5D,6
2,2,2,1,2,2.91,1.02775362,1.2343299,,29,353.1799,424.1684,,4,5,5D,5
2,2,2,1,2,1.89,0.285270492,0.648395748,0.363125256,28.9,150.9368,343.0665,192.1297,4,5,5D,5
2,2,2,1,2,2.85,0.9293172,1.3983732,0.96933354,,326.0762,490.6573,340.1171,4,5,5D,5
2,2,2,2,1,3.25,0.556641,1.424475,0.9331407,29.1,171.2742,438.3,287.1202,4,4,4C,2
2,2,2,2,1,3.29,0.520967484,1.47950676,1.0625283,29.2,158.3488,449.6981,322.9569,4,4,4C,2
2,2,2,1,1,3.54,,1.04066928,,28.9,,293.9744,,4,4,4C,1
2,2,2,2,1,3.59,0.419301576,1.44745002,1.087736472,29.2,116.7971,403.1894,302.9906,4,4,4C,2
2,2,2,2,1,4.06,0.73507332,1.14578556,0.678183144,28.9,181.0525,282.2132,167.0402,4,4,4C,2
2,2,2,2,1,4.05,1.2177246,1.6966866,1.16155542,28.9,300.6727,418.935,286.8039,4,4,4C,2
2,2,2,1,1,2.59,,0.84389454,0.490105158,29.2,,325.828,189.2298,4,4,4C,1
2,2,2,2,1,3.1,0.8323332,1.3362678,,28.9,268.4946,431.0541,,4,4,4C,2
2,2,2,2,1,3.96,0.307635264,1.60353792,1.295902656,29.4,77.68567,404.9338,327.24813,4,4,4C,2
2,2,2,1,1,3.24,0.529071552,1.05127584,0.594529728,,163.2937,324.4679,183.4969,4,4,4C,1
2,2,2,1,1,4,1.364154,1.364154,,28.9,341.0385,341.0385,,4,4,4C,1
2,2,2,1,1,3.49,0.91059594,1.13587548,0.690128196,,260.9157,325.4658,197.7445,4,4,4C,1
2,2,2,2,1,3.35,0.37983996,1.1685699,0.78872994,29.2,113.3851,348.8268,235.4417,4,4,4C,2
2,2,2,2,1,2.91,0.501496884,0.97940598,0.656282586,28.8,172.3357,336.5656,225.5266,4,4,4C,2
2,2,1,1,4,2.99,0.535428684,1.2225402,0.687111516,29.2,179.0731,408.8763,229.8032,3,5,5C,13
2,2,1,2,4,4.39,0.42406476,1.58336808,1.15930332,29,96.59789,360.6761,264.07821,3,5,5C,14
2,2,1,1,4,3.75,0.542133,1.043235,0.524673,29,144.5688,278.196,139.9128,3,5,5C,13
2,2,1,2,4,2.92,0.44608032,1.24082112,0.7947408,29,152.7672,424.9388,272.1716,3,5,5C,14
2,2,1,2,4,3.24,0.503209728,0.80288544,,29,155.3116,247.8042,,3,5,5C,14
2,2,1,2,4,5.05,1.4588319,2.0115615,1.252278,29.1,288.8776,398.329,247.9758,3,5,5C,14
2,2,1,1,4,2.88,0.82357728,0.82357728,0.557893008,29.2,285.9643,285.9643,193.71282,3,5,5C,13
2,2,1,2,4,3.55,0.69824034,0.8780835,0.459081,29,196.6874,247.3475,129.3186,3,5,5C,14
2,2,1,2,4,2.94,0.419569044,1.35266892,0.933099876,29.1,142.7106,460.0915,317.3809,3,5,5C,14
2,2,1,2,4,3.99,0.69048306,1.51891752,0.91556166,29.1,173.0534,380.6811,229.4641,3,5,5C,14
2,2,1,2,4,3.54,0.441191304,1.04358432,0.70398216,29,124.6303,294.7978,198.86498,3,5,5C,14
2,2,1,2,4,4.29,0.72932982,1.53977676,0.81044694,29,170.007,358.9223,188.9153,3,5,5C,14
2,2,1,2,4,3.46,0.524177712,0.94509504,0.420917328,29,151.4964,273.1489,121.6525,3,5,5C,14
2,2,1,1,4,3.83,,1.00401462,0.725057046,29,,262.1448,189.30992,3,5,5C,13
2,2,1,2,3,4.07,1.60861086,1.60861086,1.163685204,28.9,395.2361,395.2361,285.9178,3,4,4A,10
2,2,1,2,3,4.28,0.587133792,1.37403504,0.809934624,,137.1808,321.0362,189.237,3,4,4A,10
2,2,1,1,3,3.53,0.94090662,1.18724778,0.833259906,,266.5458,336.3308,236.0509,3,4,4A,9
2,2,1,1,3,2.26,0.4529106,0.86089836,,29.2,200.4029,380.9285,,3,4,4A,9
2,2,1,2,3,4.48,0.542773872,1.78682952,1.244055648,29.5,121.1549,398.8459,277.691,3,4,4A,10
2,2,1,2,3,3.47,0.613823724,1.68586416,,29.3,176.8944,485.8398,,3,4,4A,10
2,2,1,1,3,3.36,1.02834456,1.15971576,,28.9,306.0549,345.1535,,3,4,4A,9
2,2,1,2,3,4.7,1.4334948,2.0001078,1.2111804,29.3,304.9989,425.5548,257.6979,3,4,4A,10
2,2,1,2,3,3.95,1.0778292,1.2034791,,29.3,272.8682,304.6783,,3,4,4A,10
2,2,1,1,3,3.28,0.702421776,1.21014024,,29.3,214.153,368.9452,,3,4,4A,9
2,2,1,1,3,2.78,,,,29.3,,,,3,4,4A,9
2,2,1,1,3,2.57,1.0614681,1.0614681,0.677943882,29.5,413.0226,413.0226,263.7914,3,4,4A,9
2,2,1,1,3,5.16,0.88298112,2.30308512,1.420104,29.1,171.1204,446.3343,275.2139,3,4,4A,9
2,2,1,1,3,3.09,0.76144986,1.51704804,0.941242728,29.1,246.4239,490.9541,304.6093,3,4,4A,9
2,2,1,2,3,3.32,0.614143296,0.98414784,,29.2,184.9829,296.4301,,3,4,4A,10
2,2,1,2,3,2.55,0.41561979,1.0822131,0.66659331,29.3,162.9882,424.3973,261.4091,3,4,4A,10
2,2,1,1,3,2.32,0.40631616,0.81263232,,29.2,175.1363,350.2726,,3,4,4A,9
2,2,1,1,3,2.08,1.27664712,1.27664712,0.729259776,29.1,613.7726,613.7726,370.391,3,4,4A,9
2,2,1,1,3,1.73,0.74923506,0.88532514,,28.8,433.0839,511.7486,,3,4,4A,9
2,1,2,3,2,2.17,0.680527332,0.83573532,0.216229932,,313.6071,385.1315,99.6451,2,5,5B,7
2,1,2,3,2,2.55,0.8757624,1.4010729,0.72749994,29.3,343.4362,549.4404,285.2941,2,5,5B,7
2,1,2,4,2,4.27,0.7424895,1.8218157,1.0793262,29.3,173.8851,426.6547,252.7696,2,5,5B,8
2,1,2,4,2,2.88,0.6924204,1.11080352,,29.3,240.4238,385.6957,,2,5,5B,8
2,1,2,4,2,4.14,1.69542408,1.69542408,,29.2,409.5227,409.5227,,2,5,5B,8
2,1,2,4,2,2.31,0.81417084,0.81417084,0.394350198,29.1,352.4549,352.4549,170.7144,2,5,5B,8
2,1,2,4,2,4.25,0.3486294,1.238895,0.8902656,29.3,82.03045,291.5047,209.47425,2,5,5B,8
2,1,2,4,2,3.04,0.386296104,1.53011016,1.143814056,29.2,127.0711,503.3257,376.2546,2,5,5B,8
2,1,2,4,2,1.93,0.38582445,0.8787198,0.531883926,29.1,199.909,455.2952,275.5875,2,5,5B,8
2,1,2,4,2,2.91,1.57715862,1.57715862,,28.7,541.9789,541.9789,,2,5,5B,8
2,1,2,3,2,3.19,1.00712508,1.3703625,0.882294192,29.1,315.7132,429.5807,276.5812,2,5,5B,7
2,1,2,4,2,2.38,0.451143504,0.80046336,,28.8,189.5561,336.3291,,2,5,5B,8
2,1,2,3,2,2.29,1.15077438,1.15077438,0.429386832,28.7,502.5216,502.5216,187.5052,2,5,5B,7
2,1,2,4,2,3.03,0.78963378,0.93599778,,28.8,260.6052,308.9102,,2,5,5B,8
2,1,2,4,2,3.61,0.627537744,1.05900636,0.624988554,29,173.8332,293.3536,173.1271,2,5,5B,8
2,1,2,4,1,3.67,,1.0300917,0.484543488,29,,280.6789,132.2662,2,4,4D,4
2,1,2,3,1,4.03,,1.13445666,0.691996788,29,,281.5029,171.7114,2,4,4D,3
2,1,2,3,1,2.75,,0.979956,,29.2,,356.3476,,2,4,4D,3
